73d8d23d-4b61-4f58-964a-111111111111,"Bremner Morris",CLOUDFOUNDRY,mLab,"addon-based service",ACTIVE
b59ea8b3-245a-4f14-8dad-0,"space-guid-ce81dfda-4eea-4e83-a49c-26384b9b24ca space-go.cloudfoundry.com",CLOUDFOUNDRY,"Redis Cloud","addon-based service",FAILED
73abed51-abcb-42b5-b822-0,"space-guid-ce81dfda-4eea-4e83-a49c-26384b9b24ca space-go.cloudfoundry.com",CLOUDFOUNDRY,"Redis Cloud","addon-based service",FAILED
640f096d-84f4-4fa2-a86d-0,"space-guid-ce81dfda-4eea-4e83-a49c-26384b9b24ca space-go.cloudfoundry.com",CLOUDFOUNDRY,"Redis Cloud","addon-based service",FAILED
d0455530-dcd1-4511-bcea-0,"space-guid-c2997679-6b90-4358-acda-ead834122761 space-run.pivotal.io",CLOUDFOUNDRY,CloudAMQP,"addon-based service",FAILED
4594d5a1-595b-4e41-9f2c-0,"space-guid-c2997679-6b90-4358-acda-ead834122761 space-run.pivotal.io",CLOUDFOUNDRY,"Redis Cloud","addon-based service",ACTIVE
646121f4-91e4-4340-85f4-0,"space-guid-c2997679-6b90-4358-acda-ead834122761 space-run.pivotal.io",CLOUDFOUNDRY,"Redis Cloud","addon-based service",ACTIVE
d2972769-e029-4da8-9d79-0,"space-guid-c2997679-6b90-4358-acda-ead834122761 space-run.pivotal.io",CLOUDFOUNDRY,"Redis Cloud","addon-based service",ACTIVE
2121c058-3849-4b44-95ab-0,"space-guid-b579d641-b1c4-4ca6-8962-8c8d60f1fde8 space-run.pivotal.io",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
aba8417c-8b04-4e92-b9cf-0,"space-guid-b579d641-b1c4-4ca6-8962-8c8d60f1fde8 space-run.pivotal.io",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
26a5da61-f2db-4e80-8819-0,"space-guid-b579d641-b1c4-4ca6-8962-8c8d60f1fde8 space-run.pivotal.io",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
315b16e1-0336-4b5d-a1d9-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
35b3313c-93f0-466a-847c-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",ACTIVE
66318f41-9921-4984-8353-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",ACTIVE
e91c49f2-fc4f-4bee-bee1-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",ACTIVE
c239e912-9e69-4d32-bc09-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",ACTIVE
fac444ed-9574-4fc0-85a5-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",ACTIVE
25734365-d0e6-4ab4-b3b0-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
a251ea7f-5f3e-4dd6-ac33-0,"MongoLab Corp",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
